response_id,start_date,end_date,story_condition,load_condition,cognitive_load_digits_response,cognitive_load_digits_correct_bool,vignette_condition_order,vignette_condition_position_1,vignette_condition_position_2,vignette_condition_position_3,first_vignette_distal_blame,first_vignette_distal_wrong,first_vignette_distal_punish,distal_blame_ch_minus_cc,distal_blame_div_minus_cc,proximate_blame_cc_minus_ch,distal_wrong_ch_minus_cc,distal_wrong_div_minus_cc,proximate_wrong_cc_minus_ch,distal_punish_ch_minus_cc,distal_punish_div_minus_cc,proximate_punish_cc_minus_ch,distal_blame_min_ch_div_minus_cc,distal_wrong_min_ch_div_minus_cc,distal_punish_min_ch_div_minus_cc,twoafc_bill_vs_clark,twoafc_ch_vs_cc,twoafc_div_vs_cc,distal_blame_cc,distal_blame_ch,distal_blame_div,distal_wrong_cc,distal_wrong_ch,distal_wrong_div,distal_punish_cc,distal_punish_ch,distal_punish_div,proximate_blame_cc,proximate_blame_ch,proximate_wrong_cc,proximate_wrong_ch,proximate_punish_cc,proximate_punish_ch,comprehension_probability_same_bool,comprehension_distal_necessary_bool,comprehension_bill_necessary_bool,comprehension_all_correct_bool,crt_score,individualism_horizontal,individualism_vertical,individualism_score,included,age,gender,race_compact,political_compact,duration_seconds,q_recaptcha_score,consent_form,cog_load_check,crt_bat_ball,crt_widgets,crt_lilly_pads,incdol_hi_1_1,indcol_hi_2_1,indcol_hi_3_1,indcol_vi_1_1,indcol_vi_2_1,indcol_vi_3_1,indcol_vi_4_1,indcol_hc_1_1,indcol_hc_2_1,indcol_hc_3_1,indcol_hc_4_1,indcol_vc_1_1,indcol_vc_2_1,indcol_vc_3_1,id,bill_minus_distal_cc_blame,bill_minus_distal_ch_blame,bill_minus_distal_cc_wrong,bill_minus_distal_ch_wrong,bill_minus_distal_cc_punish,bill_minus_distal_ch_punish,distal_cc_timing_first_click_seconds,distal_cc_timing_last_click_seconds,distal_cc_timing_last_minus_first_seconds,distal_ch_timing_first_click_seconds,distal_ch_timing_last_click_seconds,distal_ch_timing_last_minus_first_seconds,distal_div_timing_first_click_seconds,distal_div_timing_last_click_seconds,distal_div_timing_last_minus_first_seconds,proximate_cc_timing_first_click_seconds,proximate_cc_timing_last_click_seconds,proximate_cc_timing_last_minus_first_seconds,proximate_ch_timing_first_click_seconds,proximate_ch_timing_last_click_seconds,proximate_ch_timing_last_minus_first_seconds,comprehension_timing_first_click_seconds,comprehension_timing_last_click_seconds,comprehension_timing_last_minus_first_seconds
R_7SB6LTMNbs9pYfp,2026-02-21 13:19:00,2026-02-21 15:03:00,trolley,low,63,True,CH-DIV-CC,CH,DIV,CC,6.0,8.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,-4.0,-6.0,42.0,1.0,1.0,-6.0,Bill ≥ Clark,CH > CC,DIV < CC,4.0,6.0,5.0,3.0,8.0,4.0,6.0,2.0,0.0,9.0,7.0,9.0,4.0,50.0,8.0,True,True,True,True,2.0,0.34375,0.3697916666666667,0.35677083333333337,True,21,Female,Black or African American,Nonpolitical,6199.0,0.800000012,I CONSENT to participate in this study,63,5,5,8,(5) neither agree nor disagree,4,(5) neither agree nor disagree,6,(3) disagree,(3) disagree,(1) totally disagree,(7) agree,6,8,(7) agree,6,(5) neither agree nor disagree,(5) neither agree nor disagree,93903,5.0,1.0,6.0,-4.0,44.0,6.0,34.409,58.23,23.820999999999998,94.403,143.855,49.451999999999984,61.417,81.091,19.673999999999992,8.448,28.573,20.125,11.727,71.266,59.539,6.08,38.537,32.457
R_13fHCaW6GRxyWrr,2026-02-21 14:58:00,2026-02-21 15:16:00,trolley,low,63,True,DIV-CC-CH,DIV,CC,CH,7.0,2.0,2.0,-1.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,5.0,-1.0,0.0,0.0,Bill ≥ Clark,CH > CC,DIV ≤ CC,7.0,6.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,9.0,3.0,5.0,2.0,5.0,0.0,True,True,True,True,2.0,0.4375,0.4479166666666667,0.44270833333333337,True,19,Male,White,Liberal/progressive,1076.0,1,I CONSENT to participate in this study,63,5,100,47,8,6,6,6,6,4,6,(7) agree,(7) agree,(7) agree,(7) agree,(7) agree,(7) agree,(5) neither agree nor disagree,95005,2.0,-3.0,3.0,-1.0,3.0,-2.0,104.584,134.185,29.601,76.462,88.529,12.066999999999993,162.841,205.308,42.466999999999985,19.586,42.604,23.018,15.674,69.308,53.63400000000001,12.715,29.649,16.934
R_72zQgKJP83bbi7R,2026-02-21 15:15:00,2026-02-21 15:23:00,firework,low,63,True,CH-CC-DIV,CH,CC,DIV,5.0,6.0,5.0,2.0,5.0,-6.0,3.0,5.0,-6.0,5.0,15.0,-17.0,2.0,3.0,5.0,Bill > Clark,CH > CC,DIV > CC,3.0,5.0,8.0,3.0,6.0,8.0,0.0,5.0,15.0,3.0,9.0,3.0,9.0,3.0,20.0,False,True,True,False,0.0,0.515625,0.3697916666666667,0.44270833333333337,False,19,Female,White,Nonpolitical,480.0,0.800000012,I CONSENT to participate in this study,63,10,100,24,(9) totally agree,(9) totally agree,8,(7) agree,(3) disagree,6,(5) neither agree nor disagree,8,8,8,(9) totally agree,8,8,6,94397,0.0,4.0,0.0,3.0,3.0,15.0,16.061,40.112,24.051000000000002,82.775,98.824,16.048999999999992,26.009,30.125,4.116,15.288,20.986,5.698,12.096,20.763,8.667000000000002,21.625,34.891,13.265999999999998
R_1gj2b4t3tmT0lEt,2026-02-21 15:20:00,2026-02-21 15:30:00,trolley,low,63,True,CH-DIV-CC,CH,DIV,CC,8.0,8.0,15.0,2.0,1.0,5.0,0.0,1.0,0.0,10.0,2.0,3.0,1.0,0.0,2.0,Bill < Clark,CH ≤ CC,DIV < CC,6.0,8.0,7.0,8.0,8.0,9.0,5.0,15.0,7.0,8.0,3.0,7.0,7.0,8.0,5.0,True,True,False,False,3.0,0.1875,0.3229166666666667,0.25520833333333337,False,19,Female,White,Liberal/progressive,605.0,1,I CONSENT to participate in this study,63,5,5,47,8,2,(5) neither agree nor disagree,4,(1) totally disagree,(7) agree,6,(7) agree,(9) totally agree,(9) totally agree,(9) totally agree,8,6,8,93352,2.0,-5.0,-1.0,-1.0,3.0,-10.0,22.561,33.877,11.316000000000003,40.308,54.993,14.685000000000002,47.266,62.716,15.450000000000003,7.494,59.343,51.849000000000004,10.072,31.655,21.583000000000002,5.597,19.414,13.817
R_1HSsFH2Z6lofcoF,2026-02-21 15:15:00,2026-02-21 15:31:00,firework,high,8403592,False,CC-CH-DIV,CC,CH,DIV,6.0,8.0,20.0,1.0,-2.0,-1.0,-1.0,0.0,-1.0,-17.0,-18.0,-3.0,-2.0,-1.0,-18.0,Bill ≥ Clark,CH > CC,DIV > CC,6.0,7.0,4.0,8.0,7.0,8.0,20.0,3.0,2.0,4.0,5.0,3.0,4.0,0.0,3.0,True,False,True,False,2.0,0.359375,0.53125,0.4453125,False,18,Female,White,Liberal/progressive,936.0,1,I CONSENT to participate in this study,8403592,5,5,24,(3) disagree,4,(5) neither agree nor disagree,(5) neither agree nor disagree,(3) disagree,(7) agree,(7) agree,(7) agree,6,(7) agree,(7) agree,(3) disagree,(7) agree,(5) neither agree nor disagree,94906,-2.0,-2.0,-5.0,-3.0,-20.0,0.0,105.37,142.339,36.968999999999994,62.367,70.351,7.984000000000002,20.256,26.541,6.285,36.41,47.894,11.484000000000002,15.399,21.168,5.769,30.275,51.526,21.251000000000005
R_12FCJ4KSv9OJD2C,2026-02-21 15:16:00,2026-02-21 15:31:00,trolley,high,8403259,True,DIV-CH-CC,DIV,CH,CC,9.0,9.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,9.0,5.0,0.0,1.0,4.0,Bill ≥ Clark,CH ≥ CC,DIV < CC,8.0,8.0,9.0,8.0,9.0,9.0,1.0,5.0,10.0,9.0,9.0,9.0,9.0,5.0,0.0,True,True,True,True,1.0,0.375,0.53125,0.453125,True,19,Female,White,Moderate,939.0,0.899999976,I CONSENT to participate in this study,8403259,10,5,24,(5) neither agree nor disagree,(3) disagree,(7) agree,(5) neither agree nor disagree,(3) disagree,6,4,(7) agree,(7) agree,(7) agree,(7) agree,6,(3) disagree,(3) disagree,93908,1.0,1.0,1.0,0.0,4.0,-5.0,46.539,58.477,11.937999999999995,59.221,73.971,14.750000000000007,121.805,180.724,58.91899999999998,14.052,27.218,13.166,68.008,96.81,28.802000000000007,6.912,17.748,10.836000000000002
R_5kGCNOspRxhEHo5,2026-02-21 15:30:00,2026-02-21 15:37:00,trolley,high,8406359,False,DIV-CC-CH,DIV,CC,CH,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≤ CC,DIV ≤ CC,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,True,True,True,True,2.0,0.609375,0.4270833333333333,0.5182291666666666,True,19,Female,White,Liberal/progressive,471.0,1,I CONSENT to participate in this study,8406359,5,5,24,(9) totally agree,(9) totally agree,(9) totally agree,(9) totally agree,(3) disagree,(9) totally agree,(1) totally disagree,2,(9) totally agree,(9) totally agree,(9) totally agree,(7) agree,8,(5) neither agree nor disagree,93342,0.0,0.0,0.0,0.0,0.0,0.0,51.118,58.219,7.100999999999999,26.171,31.54,5.369,78.288,106.422,28.134,12.544,31.53,18.986,5.906,24.791,18.885,4.051,13.267,9.216
R_7eHwunvTUIKZrBT,2026-02-21 15:23:00,2026-02-21 15:41:00,firework,high,8203459,False,CC-DIV-CH,CC,DIV,CH,6.0,6.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,6.0,2.0,0.0,2.0,1.0,2.0,Bill > Clark,CH > CC,DIV ≥ CC,6.0,9.0,8.0,6.0,9.0,7.0,2.0,8.0,4.0,9.0,9.0,9.0,9.0,7.0,7.0,True,True,True,True,3.0,0.484375,0.4010416666666667,0.44270833333333337,True,19,Female,White,Moderate,1112.0,0.800000012,I CONSENT to participate in this study,8203459,5,5,47,8,(7) agree,8,(7) agree,(1) totally disagree,(9) totally agree,6,(7) agree,8,(7) agree,(9) totally agree,(9) totally agree,4,(9) totally agree,93855,3.0,0.0,3.0,0.0,5.0,-1.0,135.67,175.931,40.261000000000024,53.907,64.421,10.51400000000001,116.947,142.841,25.894000000000005,62.707,78.066,15.359000000000002,15.091,23.233,8.142000000000001,109.988,162.465,52.477000000000004
R_6eRxhw38Mxb0SNv,2026-02-21 15:41:00,2026-02-21 15:50:00,trolley,low,63,True,CH-DIV-CC,CH,DIV,CC,9.0,9.0,40.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,Bill ≥ Clark,CH > CC,DIV < CC,7.0,9.0,6.0,8.0,9.0,9.0,40.0,40.0,40.0,9.0,7.0,9.0,9.0,40.0,40.0,True,True,True,True,0.0,0.546875,0.4166666666666667,0.48177083333333337,True,19,Female,Black or African American,Liberal/progressive,489.0,1,I CONSENT to participate in this study,63,10,100,24,(9) totally agree,(9) totally agree,(9) totally agree,(5) neither agree nor disagree,(1) totally disagree,(5) neither agree nor disagree,(1) totally disagree,(9) totally agree,(9) totally agree,(9) totally agree,6,(3) disagree,(7) agree,(3) disagree,93964,2.0,-2.0,1.0,0.0,0.0,0.0,46.456,56.557,10.100999999999999,34.503,44.336,9.832999999999998,29.951,45.968,16.017000000000003,10.109,21.391,11.281999999999998,40.204,56.47,16.266,5.136,20.153,15.017
R_13KZa3B67jtxPLX,2026-02-21 15:24:00,2026-02-21 15:52:00,firework,low,63,True,CC-CH-DIV,CC,CH,DIV,3.0,2.0,0.0,0.0,5.0,1.0,0.0,6.0,1.0,0.0,10.0,5.0,0.0,0.0,0.0,Bill > Clark,CH > CC,DIV > CC,3.0,3.0,8.0,2.0,2.0,8.0,0.0,0.0,10.0,9.0,8.0,9.0,8.0,50.0,45.0,True,True,True,True,3.0,0.53125,0.5729166666666667,0.5520833333333334,True,20,Female,White,Liberal/progressive,1694.0,1,I CONSENT to participate in this study,63,5,5,47,(7) agree,(7) agree,(7) agree,8,6,4,4,(5) neither agree nor disagree,6,(7) agree,8,6,4,(3) disagree,94446,6.0,5.0,7.0,6.0,50.0,45.0,187.684,271.261,83.57700000000003,144.972,186.233,41.260999999999996,110.783,189.543,78.76,54.95,101.311,46.361000000000004,23.341,36.318,12.976999999999997,12.099,33.733,21.633999999999997
R_3N5nyOAzLSwJpGN,2026-02-21 15:50:00,2026-02-21 16:05:00,firework,high,87,False,CC-CH-DIV,CC,CH,DIV,7.0,8.0,6.0,1.0,1.0,5.0,1.0,0.0,2.0,4.0,2.0,13.0,1.0,0.0,2.0,Bill > Clark,CH > CC,DIV > CC,7.0,8.0,8.0,8.0,9.0,8.0,6.0,10.0,8.0,9.0,4.0,9.0,7.0,15.0,2.0,True,True,True,True,3.0,0.53125,0.3177083333333333,0.42447916666666663,True,20,Female,White,Moderate,894.0,0.5,I CONSENT to participate in this study,87,5,5,47,8,(7) agree,8,(5) neither agree nor disagree,(3) disagree,4,(3) disagree,(7) agree,(5) neither agree nor disagree,(9) totally agree,(7) agree,6,(7) agree,(7) agree,94352,2.0,-4.0,1.0,-2.0,9.0,-8.0,100.933,106.092,5.158999999999992,14.363,132.251,117.888,26.49,31.486,4.996000000000002,35.177,39.085,3.9080000000000013,24.607,30.212,5.605,24.225,32.658,8.433
R_6nBIt3vZAvq4xXs,2026-02-21 16:03:00,2026-02-21 16:18:00,trolley,high,8405239,False,CH-CC-DIV,CH,CC,DIV,7.0,7.0,20.0,3.0,3.0,5.0,4.0,4.0,5.0,15.0,15.0,15.0,3.0,4.0,15.0,Bill < Clark,CH > CC,DIV ≥ CC,4.0,7.0,7.0,3.0,7.0,7.0,5.0,20.0,20.0,6.0,1.0,6.0,1.0,15.0,0.0,True,True,False,False,2.0,0.421875,0.5416666666666667,0.48177083333333337,False,19,Male,White,Moderate,896.0,1,I CONSENT to participate in this study,8405239,5,20,47,(7) agree,4,8,(7) agree,6,(9) totally agree,6,(7) agree,(7) agree,8,(7) agree,(3) disagree,8,8,94997,2.0,-6.0,3.0,-6.0,10.0,-20.0,39.432,49.849,10.416999999999994,74.065,92.133,18.067999999999998,78.74,94.257,15.51700000000001,46.152,53.137,6.984999999999999,25.817,192.165,166.34799999999998,34.03,56.182,22.152
R_6OIsxa4SCMAPXZM,2026-02-21 16:06:00,2026-02-21 16:21:00,firework,low,63,True,DIV-CH-CC,DIV,CH,CC,8.0,8.0,3.0,-1.0,0.0,7.0,-1.0,0.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,Bill > Clark,CH > CC,DIV < CC,8.0,7.0,8.0,8.0,7.0,8.0,4.0,3.0,3.0,9.0,2.0,8.0,5.0,5.0,3.0,True,True,True,True,3.0,0.390625,0.5625,0.4765625,True,19,Male,Asian,Liberal/progressive,862.0,1,I CONSENT to participate in this study,63,5,5,47,(7) agree,(7) agree,6,8,(5) neither agree nor disagree,(7) agree,4,8,(9) totally agree,8,8,(5) neither agree nor disagree,(7) agree,(3) disagree,94523,1.0,-5.0,0.0,-2.0,1.0,0.0,34.12,41.171,7.051000000000002,106.373,123.305,16.932000000000002,156.026,178.457,22.430999999999983,14.563,22.778,8.214999999999998,26.502,38.62,12.117999999999999,12.584,36.419,23.834999999999997
R_7w8IfDtrsOK736F,2026-02-21 16:08:00,2026-02-21 16:25:00,firework,low,63,True,CC-DIV-CH,CC,DIV,CH,6.0,8.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV ≥ CC,6.0,8.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,9.0,5.0,8.0,8.0,1.0,0.0,True,False,True,False,2.0,0.3125,0.515625,0.4140625,False,18,Female,White,Liberal/progressive,1031.0,1,I CONSENT to participate in this study,63,10,5,47,8,(7) agree,4,6,2,4,(5) neither agree nor disagree,(9) totally agree,(9) totally agree,(9) totally agree,(7) agree,(3) disagree,6,(3) disagree,95370,3.0,-3.0,0.0,0.0,1.0,0.0,106.926,187.201,80.27499999999999,36.619,68.328,31.709000000000003,65.003,80.285,15.281999999999996,49.735,63.07,13.335,13.791,32.354,18.563,8.123,36.525,28.402
R_3QWjxlFUQ2APuQp,2026-02-21 16:16:00,2026-02-21 16:30:00,trolley,high,8403259,True,DIV-CC-CH,DIV,CC,CH,8.0,9.0,15.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0,12.0,0.0,0.0,0.0,Bill ≥ Clark,CH ≥ CC,DIV ≤ CC,8.0,8.0,8.0,9.0,9.0,9.0,12.0,12.0,15.0,8.0,2.0,9.0,1.0,12.0,0.0,True,True,True,True,2.0,0.546875,0.5625,0.5546875,True,21,Male,White,"Self describe: Marxist, economically left-wing with some varying social views.",865.0,0.600000024,I CONSENT to participate in this study,8403259,5,100,47,(7) agree,(5) neither agree nor disagree,(7) agree,6,(3) disagree,6,(5) neither agree nor disagree,(3) disagree,(5) neither agree nor disagree,6,(7) agree,(5) neither agree nor disagree,4,(3) disagree,94453,0.0,-6.0,0.0,-8.0,0.0,-12.0,56.815,64.82,8.004999999999995,41.903,47.898,5.9950000000000045,91.827,122.391,30.564000000000007,60.733,67.608,6.875000000000007,31.027,47.594,16.567,18.157,30.426,12.268999999999998
R_5ZBSZnUdofThIYW,2026-02-21 17:15:00,2026-02-21 17:46:00,firework,low,63,True,DIV-CH-CC,DIV,CH,CC,8.0,5.0,0.0,0.0,-1.0,4.0,2.0,-1.0,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,Bill > Clark,CH > CC,DIV < CC,9.0,9.0,8.0,6.0,8.0,5.0,1.0,1.0,0.0,9.0,5.0,9.0,9.0,3.0,1.0,True,True,True,True,1.0,0.609375,0.40625,0.5078125,True,18,Non-binary / third gender,White,Liberal/progressive,1872.0,1,I CONSENT to participate in this study,63,5,100,24,(9) totally agree,(9) totally agree,(7) agree,(5) neither agree nor disagree,(3) disagree,6,4,(5) neither agree nor disagree,8,6,6,(7) agree,(5) neither agree nor disagree,6,94463,0.0,-4.0,3.0,1.0,2.0,0.0,25.107,137.318,112.21100000000001,34.51,256.926,222.416,27.819,483.737,455.918,12.607,60.673,48.066,16.125,213.013,196.888,12.155,59.524,47.369
R_5pMDohwUwGGkpkL,2026-02-21 20:19:00,2026-02-21 20:32:00,trolley,high,8403259,True,CC-CH-DIV,CC,CH,DIV,6.0,8.0,3.0,1.0,2.0,4.0,0.0,-1.0,6.0,2.0,7.0,10.0,1.0,-1.0,2.0,Bill ≥ Clark,CH ≥ CC,DIV < CC,6.0,7.0,8.0,8.0,8.0,7.0,3.0,5.0,10.0,5.0,1.0,7.0,1.0,10.0,0.0,False,True,True,False,2.0,0.625,0.53125,0.578125,False,19,Female,Self describe: half white/japanese,Liberal/progressive,761.0,,I CONSENT to participate in this study,8403259,10,5,47,(9) totally agree,(9) totally agree,(9) totally agree,(5) neither agree nor disagree,(1) totally disagree,(7) agree,(9) totally agree,6,4,(9) totally agree,(9) totally agree,(1) totally disagree,(9) totally agree,(5) neither agree nor disagree,93882,-1.0,-6.0,-1.0,-7.0,7.0,-5.0,80.192,108.946,28.754000000000005,130.64,146.293,15.65300000000002,39.293,44.311,5.018000000000001,2.487,24.742,22.255000000000003,11.767,21.087,9.32,16.192,23.427,7.234999999999999
R_7mRCJ8BvqxE4WfM,2026-02-21 22:26:00,2026-02-21 22:37:00,firework,low,34,False,CH-CC-DIV,CH,CC,DIV,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bill > Clark,CH > CC,DIV < CC,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,9.0,9.0,9.0,9.0,50.0,50.0,False,False,True,False,0.0,0.40625,0.5052083333333333,0.45572916666666663,False,18,Female,White,Liberal/progressive,619.0,1,I CONSENT to participate in this study,34,10,100,24,(9) totally agree,(7) agree,4,6,6,(5) neither agree nor disagree,6,(7) agree,(7) agree,8,6,4,(7) agree,6,94096,7.0,7.0,7.0,7.0,50.0,50.0,17.65,24.582,6.932000000000002,5.606,137.154,131.548,37.631,47.398,9.767000000000003,4.634,31.817,27.183,12.275,23.208,10.932999999999998,40.94,71.141,30.201000000000008
R_5PgEJ3dR6KQUyM9,2026-02-21 23:10:00,2026-02-21 23:21:00,firework,low,63,True,DIV-CC-CH,DIV,CC,CH,6.0,4.0,3.0,3.0,0.0,5.0,0.0,-3.0,0.0,6.0,-1.0,5.0,0.0,-3.0,-1.0,Bill > Clark,CH > CC,DIV ≤ CC,6.0,9.0,6.0,7.0,7.0,4.0,4.0,10.0,3.0,8.0,3.0,3.0,3.0,10.0,5.0,True,True,True,True,2.0,0.546875,0.65625,0.6015625,True,19,Female,Self describe: White and Asian,Liberal/progressive,650.0,1,I CONSENT to participate in this study,63,5,20,47,(9) totally agree,6,6,6,(3) disagree,(3) disagree,6,(5) neither agree nor disagree,8,6,2,(1) totally disagree,2,(3) disagree,93402,2.0,-6.0,-4.0,-4.0,6.0,-5.0,78.924,86.909,7.984999999999999,25.722,38.321,12.598999999999997,70.36,102.306,31.945999999999998,31.755,64.453,32.69800000000001,15.082,23.052,7.969999999999999,5.806,18.726,12.919999999999998
R_5npggD6i36ioQer,2026-02-21 23:05:00,2026-02-21 23:25:00,trolley,high,8503249,False,CH-DIV-CC,CH,DIV,CC,9.0,9.0,15.0,1.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Bill ≤ Clark,CH ≥ CC,DIV < CC,8.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,9.0,3.0,9.0,5.0,15.0,15.0,True,True,False,False,0.0,0.34375,0.17708333333333331,0.26041666666666663,False,19,Female,White,Liberal/progressive,1214.0,1,I CONSENT to participate in this study,8503249,10,100,24,6,4,(7) agree,(5) neither agree nor disagree,(1) totally disagree,2,2,8,8,(7) agree,(9) totally agree,(9) totally agree,8,6,94859,1.0,-6.0,0.0,-4.0,0.0,0.0,106.229,138.114,31.885000000000005,156.382,222.664,66.28199999999998,6.835,146.389,139.554,42.123,58.763,16.64,87.946,113.958,26.012,15.874,62.454,46.58
R_6lsk99CnYjrwPcz,2026-02-22 07:44:00,2026-02-22 07:57:00,trolley,high,8403256,False,CC-CH-DIV,CC,CH,DIV,4.0,4.0,1.0,-2.0,-2.0,2.0,-2.0,-2.0,2.0,-1.0,-1.0,3.0,-2.0,-2.0,-1.0,Bill > Clark,CH < CC,DIV ≥ CC,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,7.0,5.0,7.0,5.0,8.0,5.0,True,True,True,True,3.0,0.59375,0.5572916666666667,0.5755208333333334,True,19,Female,White,Liberal/progressive,782.0,1,I CONSENT to participate in this study,8403256,5,5,47,(7) agree,(7) agree,(7) agree,(5) neither agree nor disagree,(3) disagree,(7) agree,6,(3) disagree,(7) agree,(7) agree,(5) neither agree nor disagree,(5) neither agree nor disagree,(5) neither agree nor disagree,(3) disagree,94580,3.0,3.0,3.0,3.0,7.0,5.0,150.617,181.911,31.29400000000001,28.739,33.035,4.295999999999996,20.223,29.937,9.714000000000002,11.725,21.011,9.286,26.05,35.312,9.261999999999997,9.007,87.122,78.115
R_6mMpL3Crw4Kqld7,2026-02-22 08:09:00,2026-02-22 08:24:00,firework,low,63,True,CH-DIV-CC,CH,DIV,CC,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bill > Clark,CH ≥ CC,DIV > CC,7.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,1.0,1.0,3.0,3.0,True,True,True,True,2.0,0.46875,0.3125,0.390625,True,18,Female,White,Conservative,924.0,1,I CONSENT to participate in this study,63,5,5,24,6,6,6,(3) disagree,6,(7) agree,4,(7) agree,(7) agree,6,6,(9) totally agree,8,(7) agree,95040,2.0,2.0,0.0,0.0,2.0,2.0,48.58,69.648,21.067999999999998,140.71,211.26,70.54999999999998,81.335,101.537,20.202000000000012,15.009,25.477,10.468,19.632,48.351,28.718999999999998,12.556,36.623,24.067
R_1j2TI1eoyqJsrkH,2026-02-22 08:45:00,2026-02-22 08:56:00,firework,high,820349,False,DIV-CC-CH,DIV,CC,CH,5.0,5.0,20.0,2.0,-2.0,2.0,2.0,-2.0,1.0,10.0,-10.0,0.0,-2.0,-2.0,-10.0,Bill > Clark,CH ≥ CC,DIV ≤ CC,7.0,9.0,5.0,7.0,9.0,5.0,30.0,40.0,20.0,7.0,5.0,6.0,5.0,20.0,20.0,True,False,True,False,1.0,0.390625,0.53125,0.4609375,False,19,Female,White,Nonpolitical,689.0,1,I CONSENT to participate in this study,820349,5,100,24,8,(5) neither agree nor disagree,(5) neither agree nor disagree,(5) neither agree nor disagree,6,(5) neither agree nor disagree,6,(7) agree,(7) agree,(7) agree,6,(5) neither agree nor disagree,(5) neither agree nor disagree,(5) neither agree nor disagree,93433,0.0,-4.0,-1.0,-4.0,-10.0,-20.0,41.541,49.357,7.8160000000000025,27.922,33.205,5.282999999999998,79.537,98.205,18.667999999999992,43.188,61.238,18.049999999999997,23.058,29.21,6.152000000000001,8.566,27.033,18.467
R_1B9QOLG9qMeb9g5,2026-02-22 09:28:00,2026-02-22 09:42:00,trolley,low,63,True,CC-DIV-CH,CC,DIV,CH,6.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,Bill > Clark,CH > CC,DIV < CC,6.0,6.0,7.0,6.0,6.0,6.0,3.0,3.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,True,True,True,True,0.0,0.40625,0.2708333333333333,0.33854166666666663,True,18,Female,White,Liberal/progressive,835.0,0.800000012,I CONSENT to participate in this study,63,10,100,7,(5) neither agree nor disagree,4,6,(5) neither agree nor disagree,4,(3) disagree,4,(7) agree,6,(7) agree,6,(7) agree,8,8,94993,3.0,2.0,2.0,2.0,5.0,5.0,102.238,112.641,10.403000000000006,63.398,74.05,10.651999999999994,53.925,60.126,6.2010000000000005,130.87,138.454,7.584000000000003,18.285,28.519,10.233999999999998,12.812,25.764,12.952
R_3VmzrwUyeKHVqVs,2026-02-22 10:10:00,2026-02-22 10:34:00,firework,low,63,True,CH-CC-DIV,CH,CC,DIV,9.0,3.0,8.0,5.0,1.0,6.0,1.0,0.0,6.0,7.0,3.0,8.0,1.0,0.0,3.0,Bill > Clark,CH > CC,DIV > CC,4.0,9.0,5.0,2.0,3.0,2.0,1.0,8.0,4.0,9.0,3.0,9.0,3.0,12.0,4.0,False,True,True,False,3.0,0.734375,0.22395833333333331,0.47916666666666663,False,18,Male,American Indian or Alaska Native,Nonpolitical,1483.0,0.899999976,I CONSENT to participate in this study,63,5,5,47,(9) totally agree,(9) totally agree,(9) totally agree,2,(5) neither agree nor disagree,(5) neither agree nor disagree,(1) totally disagree,(5) neither agree nor disagree,(3) disagree,(7) agree,6,(5) neither agree nor disagree,(9) totally agree,(9) totally agree,93912,5.0,-6.0,7.0,0.0,11.0,-4.0,140.657,189.045,48.38799999999998,26.322,187.492,161.17,73.602,105.601,31.998999999999995,15.869,36.547,20.677999999999997,75.09,106.681,31.590999999999994,132.722,161.839,29.11699999999999
